ID,ID,naam,omschrijving,kleur,maat,leeftijd,categorie,afbeeldingproduct,productactief,toegevoegdop,toegevoegdop
11329,11329,16,Shirts en broekje,Divers,80,,16,/winkel/foto/16_1069107300.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11332,11332,Blouse,Blouse korte mouw,Beige divers,56,,18,/winkel/foto/Blouse_1033057201.jpg,0,2017-04-21 12:21:54,2017-04-21 12:21:54
11337,11337,Hemdje,Hemdje,Zwart,52,,18,/winkel/foto/Hemdje_1917881793.jpg,0,2017-04-21 12:33:04,2017-04-21 12:33:04
11352,11352,16,Shirts met rokje,Divers,164,,16,/winkel/foto/16_1691458693.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11362,11362,Digitenne buitenantenne,Buitenantenne voor Digitenne kpn,,,,38,/winkel/foto/Digitenne buitenantenne_1520463423.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11363,11363,Potje met theekopje,Potje thee voor een persoon. Aardewerk,Zilverkleurig,,,38,/winkel/foto/Potje met theekopje_1497106962.jpg,0,2017-04-25 18:45:44,2017-04-25 18:45:44
11366,11366,Dobbelbeker,Zonder dobbels,Divers,,,33,/winkel/foto/Dobbelbeker_1394228887.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11370,11370,DVD s,Vier,,,,38,/winkel/foto/DVD s_1315561184.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11392,11392,Gijmpen,Nikes zaalvoetbal,Blauw divers,38,,37,/winkel/foto/Gijmpen_774496957.jpg,0,2017-04-26 16:47:22,2017-04-26 16:47:22
11396,11396,Rompers,Met lange mouw,Divers,,,34,/winkel/foto/Rompers_725613626.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11414,11414,Sokjes,Meisje,Divers,6-12 maanden,,16,/winkel/foto/Sokjes_1845724737.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11416,11416,Sokjes,7 x meisje,Divers,19-22,,16,/winkel/foto/Sokjes_2120145021.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11417,11417,Sokken,Lange sokken,Divers,22-26,,16,/winkel/foto/Sokken_1733741363.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11418,11418,16,Shirt vestje rokje bolero maillot,Divers,80,,16,/winkel/foto/16_2094797405.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11438,11438,Shirts,Blousje en shirts,Divers,74,,16,/winkel/foto/Shirts_507075603.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11439,11439,Shirts,Shirts,Divers,68,,16,/winkel/foto/Shirts_125677074.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11440,11440,Rompers,4 Rompers,Divers,74-80,,34,/winkel/foto/Rompers_1097127555.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11454,11454,Bodywarmer,Met rits,Zwart,152,,36,/winkel/foto/Bodywarmer_20411476.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
